,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Trincomalee,100,LK,1562870774,81,8.58,81.23,77.97,4.45
376,Chumikan,100,RU,1562870495,96,54.72,135.31,50.79,1.88
377,Moron,61,HT,1562870777,76,18.56,-74.26,83.19,9.55
378,Isabela,78,PH,1562870778,79,10.2,122.99,80.13,4.34
379,Ruiru,20,KE,1562870504,68,-1.16,36.96,66.2,9.17
380,San Jeronimo,0,PE,1562870781,38,-13.65,-73.37,60.8,8.01
381,Warrnambool,99,AU,1562870782,99,-38.38,142.48,53.01,5.99
382,Sioux Lookout,40,CA,1562870783,47,50.1,-91.92,77.0,8.05
383,Haines Junction,100,CA,1562870490,46,60.75,-137.51,62.31,6.02
384,Laguna,40,BZ,1562870785,74,16.17,-88.94,87.8,6.93
385,Wells,60,GB,1562870787,64,51.21,-2.64,73.0,12.75
386,Klaksvik,83,FO,1562870527,100,62.23,-6.59,51.8,12.75
387,Miyako,40,JP,1562870789,69,33.63,130.94,75.2,6.93
388,Sungaipenuh,75,ID,1562870566,95,-2.08,101.38,72.03,2.98
389,Leh,45,IN,1562870792,51,34.16,77.58,45.93,3.51
390,Faya,20,SA,1562870793,46,18.39,42.45,75.2,5.82
391,Kasongo-Lunda,31,CD,1562870794,36,-6.48,16.82,74.73,1.68
392,Coroata,7,BR,1562870796,42,-6.39,-44.31,88.59,9.04
393,Rossosh,95,RU,1562870797,83,50.2,39.58,58.53,4.52
394,Inhambane,0,MZ,1562870798,88,-23.87,35.38,64.4,4.81
395,Khuzdar,11,PK,1562870659,61,27.8,66.62,76.53,8.88
396,Yangambi,100,CD,1562870800,93,0.77,24.47,72.75,1.05
397,Komsomolskiy,52,RU,1562870802,88,67.55,63.78,57.45,8.81
398,Acapulco,40,MX,1562870537,70,16.86,-99.88,87.8,5.82
399,Te Anau,100,NZ,1562870804,86,-45.41,167.72,42.87,3.78
400,Wanning,100,AT,1562870805,71,48.64,13.53,66.0,5.01
401,Hami,100,CN,1562870807,32,42.84,93.51,79.23,22.66
402,Maldonado,0,UY,1562870808,72,-34.91,-54.96,62.6,2.24
403,Craig,1,US,1562870809,24,40.52,-107.55,84.2,3.36
404,Kushiro,100,JP,1562870810,96,43.11,144.15,51.15,1.3
405,Shakawe,0,BW,1562870812,20,-18.36,21.84,63.03,4.14
406,Abu Samrah,0,SY,1562870813,50,35.3,37.18,80.13,14.97
407,Malanje,0,AO,1562870814,30,-9.54,16.35,71.31,4.68
408,Novichikha,0,RU,1562870815,84,52.2,81.39,58.71,10.27
409,Hailar,34,CN,1562870817,79,49.2,119.7,61.95,2.26
410,Golden,1,US,1562870818,18,39.76,-105.22,96.01,4.59
411,Claresholm,1,CA,1562870819,46,50.02,-113.58,78.01,24.16
412,Esil,94,KZ,1562870820,44,51.96,66.41,73.83,9.35
413,Awjilah,0,LY,1562870822,13,29.14,21.3,97.23,11.05
414,Sakaiminato,20,JP,1562870823,78,35.55,133.23,73.4,17.22
415,Olinda,90,AU,1562870824,76,-37.84,145.39,55.99,17.22
416,Sturgis,0,CA,1562870825,72,51.94,-102.54,72.57,14.18
417,Ekibastuz,0,KZ,1562870827,44,51.72,75.32,70.05,10.47
418,Buloh Kasap,75,MY,1562870828,78,2.55,102.76,78.8,4.7
419,Ulaangom,100,MN,1562870829,82,49.98,92.07,57.63,9.01
420,Tianpeng,100,CN,1562870830,94,28.88,112.34,74.19,0.83
421,Falkenberg,90,DE,1562870832,100,49.86,12.22,62.6,3.36
422,Yzeure,0,FR,1562870833,44,46.57,3.36,82.4,4.7
423,Sabla,95,NG,1562870834,36,12.75,4.71,94.17,8.41
424,Cannes,0,FR,1562870836,83,43.55,7.01,86.0,4.7
425,Peru,75,US,1562870545,57,41.33,-89.13,84.99,13.87
426,Cayenne,56,GF,1562870838,74,4.94,-52.33,82.4,3.36
427,Cidreira,100,BR,1562870839,58,-30.17,-50.22,70.05,4.74
428,Sitka,14,US,1562870841,56,37.17,-99.65,82.99,3.0
429,Soderhamn,63,SE,1562870842,54,61.3,17.06,59.0,3.0
430,Belomorsk,100,RU,1562870843,94,64.52,34.76,42.15,7.94
431,Montorio al Vomano,0,IT,1562870845,50,42.58,13.64,78.8,4.7
432,Mount Isa,97,AU,1562870846,37,-20.73,139.49,55.4,9.17
433,Pacifica,75,US,1562870848,87,37.61,-122.49,75.0,5.82
434,Healdsburg,1,US,1562870849,57,38.61,-122.87,89.01,5.82
435,Umm Lajj,0,SA,1562870850,75,25.02,37.27,85.71,1.12
436,Clarence Town,0,AU,1562870851,66,-32.59,151.78,57.0,11.41
437,Shirokiy,53,RU,1562870852,73,53.87,39.17,57.99,4.5
438,Aracati,80,BR,1562870854,44,-4.56,-37.77,88.77,6.35
439,Rio Gallegos,90,AR,1562870855,93,-51.62,-69.22,39.2,12.37
440,Beauchamps,0,FR,1562870856,68,48.83,-1.36,70.0,6.93
441,Ilinskiy,75,RU,1562870857,87,55.62,38.12,57.2,2.24
442,Tual,59,ID,1562870859,79,-5.67,132.75,77.25,18.14
443,Dunedin,49,NZ,1562870860,89,-45.87,170.5,46.0,15.01
444,Nuuk,20,GL,1562870819,66,64.17,-51.74,51.8,8.05
445,Alora,75,ZA,1562870863,87,-33.94,18.67,57.0,3.36
446,Moose Factory,90,CA,1562870864,93,51.26,-80.61,51.8,8.05
447,Sampit,27,ID,1562870865,96,-2.54,112.95,74.37,4.7
448,Cuencame,34,MX,1562870866,37,24.87,-103.7,81.21,10.45
449,Yabrud,0,SY,1562870868,25,33.97,36.66,87.8,11.41
450,Amahai,39,ID,1562870869,80,-3.31,129.0,75.63,12.12
451,Ucluelet,75,CA,1562870725,93,48.94,-125.55,66.99,5.82
452,Beloha,29,MG,1562870871,82,-25.17,45.06,63.21,4.56
453,Youghal,20,IE,1562870873,60,51.95,-7.85,69.01,14.99
454,Panjakent,0,UZ,1562870874,32,39.5,67.61,84.2,2.24
455,Chernyshevsk,9,RU,1562870875,66,52.51,117.01,62.31,4.99
456,Nagornskiy,58,RU,1562870876,86,58.77,57.55,52.0,1.01
457,Lehigh Acres,75,US,1562870878,78,26.63,-81.62,91.4,6.93
458,Yantal,12,RU,1562870879,83,56.85,105.25,57.09,3.15
459,Palmer,75,AU,1562870880,87,-34.85,139.16,55.99,14.99
460,Phimai,100,TH,1562870882,70,15.22,102.49,79.77,7.58
461,Eureka,90,US,1562870689,88,40.8,-124.16,75.99,8.05
462,Mokhsogollokh,0,RU,1562870884,92,61.4,128.95,61.59,2.01
463,Jumla,100,NP,1562870885,98,29.28,82.18,56.55,1.63
464,Kapit,89,MY,1562870887,99,2.02,112.94,73.65,0.16
465,Talagang,14,PK,1562870888,26,32.92,72.41,102.45,18.14
466,Nemuro,100,JP,1562870889,91,43.32,145.57,52.41,13.8
467,Fort Smith,40,US,1562870891,55,35.39,-94.42,87.8,4.7
468,Povolzhskiy,40,RU,1562870892,49,53.59,49.76,69.8,4.47
469,Nanguneri,100,IN,1562870893,72,8.49,77.66,76.53,5.21
470,Abha,20,SA,1562870894,46,18.22,42.5,75.2,5.82
471,North Bend,90,US,1562870896,88,43.41,-124.22,75.99,4.7
472,Beyneu,0,KZ,1562870897,24,45.32,55.19,91.29,4.32
473,Ukiah,1,US,1562870898,44,39.15,-123.21,84.99,6.17
474,Sergeyevka,100,KZ,1562870899,61,53.88,67.42,69.87,6.85
475,Whitehorse,40,CA,1562870901,55,60.72,-135.06,68.0,2.24
476,Thunder Bay,40,CA,1562870902,47,48.41,-89.26,75.2,6.93
477,San Patricio,12,PY,1562870903,59,-26.98,-56.83,77.61,5.99
478,Medicine Hat,75,CA,1562870905,44,50.04,-110.68,79.0,11.41
479,Son La,100,VN,1562870906,99,21.32,103.9,69.51,2.59
480,Saint-Augustin,90,CA,1562870907,88,45.63,-73.98,80.01,3.36
481,Kavaratti,100,IN,1562870908,81,10.57,72.64,83.73,10.47
482,Katsuura,90,JP,1562870910,100,33.93,134.5,73.4,5.82
483,West Wendover,1,US,1562870817,14,40.74,-114.07,89.6,10.29
484,Bilibino,92,RU,1562870912,42,68.06,166.44,70.23,5.17
485,Kinkala,53,CG,1562870914,69,-4.35,14.75,77.0,3.36
486,Muros,0,ES,1562870915,68,42.77,-9.06,84.0,12.75
487,Atambua,0,ID,1562870916,74,-9.11,124.89,76.17,17.18
488,Majene,74,ID,1562870917,81,-3.54,118.97,79.77,24.23
489,Chongwe,0,ZM,1562870919,44,-15.33,28.68,59.0,5.82
490,Port Augusta,4,AU,1562870920,76,-32.49,137.76,55.4,10.29
491,Conceicao da Barra,75,BR,1562870921,66,-18.59,-39.73,75.45,4.03
492,Saldanha,0,PT,1562870922,21,41.42,-6.55,92.37,2.55
493,Grafton,0,AU,1562870924,81,-29.69,152.93,44.6,6.93
494,Mujiayingzi,82,CN,1562870925,84,42.12,118.78,58.53,5.19
495,Tavda,1,RU,1562870926,94,58.04,65.27,62.13,6.64
496,Santa Cruz del Sur,100,CU,1562870927,49,20.71,-78.0,92.55,5.19
497,Tilichiki,8,RU,1562870929,90,60.47,166.1,50.07,3.74
498,Cacaotepec,75,MX,1562870930,47,17.13,-96.8,77.0,5.82
499,San Quintin,0,PH,1562870940,89,17.54,120.52,75.81,2.82
500,Ixtapa,90,MX,1562870941,58,20.71,-105.21,87.8,6.93
501,Skjervoy,0,NO,1562870943,67,70.03,20.97,57.2,2.24
502,Jishou,100,CN,1562870944,92,28.26,109.7,67.35,1.54
503,Yamada,75,JP,1562870945,65,36.58,137.08,77.0,12.75
504,Acajutla,33,SV,1562870854,72,13.59,-89.83,82.65,5.79
505,Salym,99,RU,1562870948,93,60.06,71.48,64.29,7.94
506,Wajir,0,KE,1562870953,40,1.75,40.07,87.8,11.41
507,Okha,95,RU,1562870955,97,53.59,142.95,50.43,4.79
508,Oleksandrivka,1,UA,1562870956,83,48.97,32.24,57.27,6.17
509,Warren,40,US,1562870728,48,42.48,-83.03,87.8,8.05
510,Funadhoo,100,MV,1562870958,70,6.15,73.27,84.09,5.86
511,Mbandaka,100,CD,1562870960,87,0.05,18.26,74.37,2.1
512,Makakilo City,75,US,1562870961,83,21.35,-158.09,82.4,11.41
513,Matara,18,BI,1562870962,82,-3.48,29.48,51.51,1.68
514,Prainha,50,BR,1562870963,50,-1.8,-53.48,89.49,4.52
515,Nargana,89,PA,1562870965,75,9.44,-78.59,82.11,5.19
516,Viedma,100,AR,1562870966,42,-40.81,-62.99,58.89,6.31
517,Sao Filipe,50,CV,1562870967,82,14.9,-24.5,72.21,11.99
518,Mitsamiouli,20,KM,1562870968,73,-11.38,43.28,73.4,2.24
519,Wundanyi,72,KE,1562870970,78,-3.4,38.37,67.53,15.64
520,Touros,40,BR,1562870971,65,-5.2,-35.46,82.4,14.99
521,Luganville,100,VU,1562870972,98,-15.51,167.18,71.67,2.55
522,Los Andes,50,CL,1562870973,58,-32.83,-70.6,62.01,2.24
523,Puerto Ayacucho,40,CO,1562870975,78,5.66,-67.63,80.6,10.38
524,Chanika,47,MW,1562870976,55,-12.93,34.19,57.09,2.42
525,Atasu,92,KZ,1562870977,30,48.68,71.64,74.19,12.55
526,Hobyo,17,SO,1562870978,71,5.35,48.53,78.87,21.92
527,Iqaluit,90,CA,1562870976,81,63.75,-68.52,44.6,9.17
528,Kawalu,92,ID,1562870981,96,-7.38,108.21,66.27,3.65
529,Santa Maria a Vico,0,IT,1562870982,51,41.03,14.47,80.6,11.41
